Parts,Qty,Value,Package,Device,Description,JLC_ROTATION,LCSC,SPICEPREFIX
"C1, C14",2,1uF,C0402,C-NON-POLC0402,,,C52923,C
C13,1,100pF,C0402,C-NON-POLC0402,,,C1546,C
"C15, C16",2,DNP,C0402,C-NON-POLC0402,,,,C
C2,1,2.2uF,C0603,C-NON-POLC0603,,,C23630,C
"C3, C4, C9, C10, C12, C17, C18",7,100nF,C0402,C-NON-POLC0402,,,C1525,C
C5,1,4.7uF,C0402,C-NON-POLC0402,,,C23733,C
"C6, C7, C8, C11",4,12pF,C0402,C-NON-POLC0402,,,C1547,C
D1,1,B5819W,SOD-123,DIODE-SCHOTTKY_SOD-123,,,C8598,
D2,1,TVS,SPT-23-6,TVS-ARRAY_SOT-23-6,,,C85364,
D3,1,PWR,LED_0603,LED_0603,,,C72038,
"D4, D5, D6",3,603,LED_0603,LED_0603,,,C2286,
J1,1,USB-A_PTH_MALE,USB-A-H-RECT,USB-A_PTH_MALE-U-G-O4DD-W-1,,,C98125,
L1,1,0R,R0402,L0402,,,C17168,
R1,1,7.5k,R0402,RR0402,,,C25918,R
"R2, R3, R4, R5",4,10k,R0402,RR0402,,,C25744,R
S1,1,SPST-3x4mm,TACTILE_SWITCH_SMD_3.0X4.0MM,SWITCH-SPST-SMD-3.0X4.0MM,,,C720477,
U1,1,CH340E,MSOP-10,CH340E,,,C99652,
U2,1,NRF52832,QFN40P600X600X90-49T450N,NRF52832,,270,C77540,
VR1,1,AP2210K-3.3TRG,SOT-23-5,AP2210K,"AP2210K-3.3TRG1, 3.3V 300mA ULDO Regulator",,C176959,
Y1,1,32MHz_2016,CRYSTAL-SMD-2.0X1.6MM,CRYSTAL-2.0X1.6MM,,,C255896,
Y2,1,32.768kHz,CRYSTAL-SMD-3.2X1.5MM,CRYSTAL-32.768KHZ_3215,,,C32346,
